width, heigh, nbAgent, nbObject, steps, score, speed, vision, memorySize, kPlus, kMinus, error
50,50,10,400,1000,1468,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1244,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1178,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1412,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1116,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1282,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1134,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1342,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1316,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1236,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1250,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1252,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1332,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1360,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1428,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1336,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1458,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1280,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1240,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1224,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1292,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1488,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1294,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1272,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1448,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1266,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1268,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1422,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1322,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1254,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1344,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1252,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1242,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1300,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1352,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1252,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1492,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1278,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1284,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1276,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1306,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1222,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1418,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1338,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1238,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1336,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1314,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1142,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1508,1,0,5,0.05,0.05,0.0
50,50,10,400,1000,1316,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1198,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1294,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1300,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1266,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1292,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1284,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1318,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1230,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1258,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1232,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1174,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1304,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1272,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1336,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1330,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1260,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1308,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1418,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1310,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1532,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1438,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1396,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1342,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1264,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1368,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1296,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1228,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1522,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1296,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1176,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1320,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1382,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1386,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1368,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1386,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1324,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1194,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1300,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1400,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1168,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1432,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1294,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1158,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1376,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1202,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1490,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1368,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1356,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1274,1,0,5,0.05,0.05,0.0
50,50,10,400,2000,1350,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1320,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1424,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1376,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1294,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1224,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1346,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1330,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1204,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1212,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1282,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1266,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1412,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1322,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1474,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1354,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1180,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1354,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1344,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1280,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1316,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1514,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1292,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1278,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1528,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1360,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1270,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1196,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1416,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1370,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1102,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1314,1,0,5,0.05,0.05,0.0
50,50,10,400,4000,1228,1,0,5,0.05,0.05,0.0
